"order_channel","order_number","order_date","order_time_local","day_of_week","hour_of_day","order_time_zone","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","store_type","order_type","scheduled_or_asap_order","fulfillment_type","cash_order","customer_type","gh_plus_customer","order_subtotal_before_adjustments","order_subtotal_adjustments","order_subtotal","order_self_delivery_charge","order_merchant_fees","order_sales_tax","order_tip","order_total","order_commission","order_delivery_commission","order_gh_plus_commission","order_processing_fee","order_withheld_sales_tax","order_merchant_funded_promotion_and_loyalty","order_merchant_total","order_time_to_expected_ready_time_minutes","order_time_to_actually_ready_time_minutes","order_time_to_driver_arrived_time_minutes","order_time_to_driver_departed_time_minutes","order_time_to_dropoff_start_time_minutes","ghd_driver_wait_time","order_on_time","overall_rating_value","review_text"
"Marketplace","012722591347789","2023-05-21","07:30:14 PM","Sunday","7 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","Loyal","GH+","14.41","0.00","14.41","0.00","0.00","1.44","0.00","15.85","-1.80","-1.44","0.00","-0.78","-1.44","0.00","10.39","15","9","20","22","32","2","Early",,
"Marketplace","754522556384839","2023-05-17","07:08:29 PM","Wednesday","7 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","Returning","non GH+","21.57","0.00","21.57","0.00","0.00","2.16","0.00","23.73","-2.70","-2.16","0.00","-1.02","-2.16","0.00","15.69","15",,"6","10","20","0","On-time",,
"Marketplace","388622550124117","2023-05-17","07:40:11 PM","Wednesday","7 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","Returning","GH+","22.22","0.00","22.22","0.00","0.00","2.22","0.00","24.44","-2.78","-2.22","0.00","-1.05","-2.22","0.00","16.17","15",,"9","9","24","0","On-time",,
"Marketplace","653121718247584","2023-02-23","03:45:44 PM","Thursday","3 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Pick-Up","No","New","non GH+","9.08","0.00","9.08","0.00","0.00","0.91","0.00","9.99","-1.14","0.00","0.00","-0.60","-0.91","0.00","7.34","10","10",,,,,"On-time",,
"Marketplace","776421530426701","2023-02-04","08:51:29 PM","Saturday","8 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","New","non GH+","19.24","0.00","19.24","0.00","0.00","1.92","0.00","21.16","-2.41","-1.92","0.00","-0.95","-1.92","0.00","13.96","15","8","16","18","30","2","Early",,
"Marketplace","960221516223340","2023-02-03","03:50:53 PM","Friday","3 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","Loyal","GH+","12.83","0.00","12.83","0.00","0.00","1.28","0.00","14.11","-1.60","-1.28","0.00","-0.73","-1.28","0.00","9.22","15",,"12","13","24","0","On-time",,
"Marketplace","730221607312008","2023-02-12","11:23:11 AM","Sunday","11 AM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","New","GH+","14.74","0.00","14.74","0.00","0.00","1.47","0.00","16.21","-1.84","-1.47","0.00","-0.79","-1.47","0.00","10.64","15",,"6","8","18","0","On-time","5",
"Marketplace","851021585891880","2023-02-09","07:17:48 PM","Thursday","7 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","Loyal","GH+","38.45","0.00","38.45","0.00","0.00","3.85","0.00","42.30","-4.81","-3.85","0.00","-1.59","-3.85","0.00","28.20","15","8","8","12","26","0","Early",,
"Marketplace","538121714541667","2023-02-22","08:20:10 PM","Wednesday","8 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Pick-Up","No","New","non GH+","8.50","0.00","8.50","0.00","0.00","0.85","0.00","9.35","-1.06","0.00","0.00","-0.59","-0.85","0.00","6.85","15","6",,,,,"Early",,
"Marketplace","424223940550095","2023-10-04","05:55:45 PM","Wednesday","5 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","New","non GH+","17.49","0.00","17.49","0.00","0.00","1.75","0.00","19.24","-2.19","-1.75","0.00","-0.89","-1.75","0.00","12.66","15","13","15","18","36","3","On-time",,
